Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.008,proba_draw_0.008,proba_lose_0.008,proba_O_0.008,proba_U_0.008
West Ham,1,1,Crystal Palace,2023-12-03,2.0,3.5,3.8,2.04,1.86,0.6104539731764833,0.20550068210148498,0.1840331020427765,0.6078982545064153,0.3921005678281381
Manchester City,3,3,Tottenham,2023-12-03,1.29,6.0,9.0,1.36,3.1,0.8043478339376758,0.11674746050048858,0.07842391794936682,0.7831305891111573,0.21683917909266176
Wolves,1,0,Burnley,2023-12-05,1.85,3.6,4.2,2.05,1.85,0.6149528486144246,0.20644322111431324,0.17859288937711007,0.5942859315010813,0.40571314769231176
Luton Town,3,4,Arsenal,2023-12-05,17.0,7.0,1.18,1.65,2.2,0.5351539928183068,0.229085135697789,0.2357572215402738,0.5692287980883475,0.43077061775312353
Sheffield Utd,0,2,Liverpool,2023-12-06,12.0,7.5,1.2,1.33,3.4,0.06684755477219029,0.15885279534890595,0.7742756476665122,0.5174714378541219,0.48252833753148355
Crystal Palace,0,2,Bournemouth,2023-12-06,2.25,3.5,3.1,2.01,1.89,0.4817811645541608,0.2844344389366542,0.23378424147581642,0.3606353809096305,0.639364609821814
Brighton,2,1,Brentford,2023-12-06,1.91,3.8,3.75,1.62,2.25,0.6450644735634256,0.17631347670976916,0.17854520327756424,0.7426733604582958,0.2573128256974589
Fulham,5,0,Nott'ham Forest,2023-12-06,2.0,3.4,3.75,2.06,1.84,0.5437849614525955,0.23691564019042283,0.21929717827529788,0.5173390879416835,0.4826606879901367
Aston Villa,1,0,Manchester City,2023-12-06,4.75,4.2,1.7,1.53,2.4,0.5057864188418278,0.19091492587111364,0.3032374572065331,0.8133527330574952,0.1865913217736913
Manchester Utd,2,1,Chelsea,2023-12-06,2.88,3.4,2.45,1.65,2.2,0.24983528375748412,0.26782329062208055,0.4823410673659424,0.4254098497198501,0.5745901130425548
Everton,3,0,Newcastle Utd,2023-12-07,3.25,3.25,2.25,1.96,1.94,0.21164820918513846,0.24436392254269337,0.5439864356921521,0.47889507870863246,0.5211048134653816
Tottenham,1,2,West Ham,2023-12-07,1.75,4.2,4.2,1.5,2.5,0.5241677852490018,0.24443525210913533,0.23139552327378543,0.4990444707230728,0.5009553706296603
Crystal Palace,1,2,Liverpool,2023-12-09,6.0,4.5,1.5,1.65,2.2,0.2121575197405138,0.25957764391269905,0.528264215758614,0.4235782904418161,0.5764216736943918
Manchester Utd,0,3,Bournemouth,2023-12-09,1.55,4.33,5.75,1.5,2.5,0.33547740943185467,0.2988260965987042,0.3656964588537843,0.3521972069980192,0.6478027853526178
