Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Luton Town,4,0,Brighton,2024-01-30,4.2,4.2,1.75,1.65,2.2,0.3317651490295548,0.2215457936849034,0.4466862622732776,0.6304816960847572,0.36951704953496534
Crystal Palace,3,2,Sheffield Utd,2024-01-30,1.62,3.6,6.5,2.08,1.73,0.608220614462966,0.21988111090802823,0.17189517571023236,0.4832358269969053,0.5167640807780953
Aston Villa,1,3,Newcastle Utd,2024-01-30,1.85,4.0,3.8,1.5,2.5,0.5651445125469806,0.20055692526128518,0.23428457318036502,0.6665810473845826,0.33341657330227586
Tottenham,3,2,Brentford,2024-01-31,1.67,4.2,4.75,1.5,2.5,0.6566280043089466,0.16548072420094018,0.17778198269040532,0.7700923477284285,0.22989181729947727
Manchester City,3,1,Burnley,2024-01-31,1.08,12.0,21.0,1.33,3.4,0.8364275096464453,0.10460932542397838,0.0585301734552149,0.7486449226064116,0.2513437558764844
Liverpool,4,1,Chelsea,2024-01-31,1.57,4.33,5.25,1.44,2.7,0.743362165064448,0.15415370811204318,0.10242255332562523,0.6418543903791836,0.35814400907970445
West Ham,1,1,Bournemouth,2024-02-01,2.4,3.75,2.75,1.62,2.25,0.5776458972823031,0.19622441322470932,0.22611134110418973,0.6795002854369223,0.3204967225024681
Wolves,3,4,Manchester Utd,2024-02-01,2.63,3.6,2.55,1.75,2.05,0.4722152178362748,0.2640887272494712,0.26369583332228835,0.39940969407767235,0.6005902879171823
Everton,2,2,Tottenham,2024-02-03,3.0,3.6,2.25,1.62,2.25,0.3665211827410131,0.23669599831267085,0.39678200647203204,0.5590078095703939,0.44099183186188096
Newcastle Utd,4,4,Luton Town,2024-02-03,1.44,4.75,6.5,1.57,2.35,0.6869058164056813,0.15947133788903484,0.15350456265319085,0.7536719493802386,0.24631636181015037
Brighton,4,1,Crystal Palace,2024-02-03,1.7,4.0,4.75,1.73,2.08,0.6258484963645806,0.20379638629626912,0.17034724009378927,0.553851400939689,0.44614826682988906
Burnley,2,2,Fulham,2024-02-03,2.9,3.4,2.38,1.99,1.91,0.3412622577629977,0.2470995879261404,0.41163773638509893,0.5034624438709783,0.49653742357499886
Sheffield Utd,0,5,Aston Villa,2024-02-03,5.25,4.2,1.62,1.62,2.25,0.1214041905714921,0.17463496773246762,0.7039356136290853,0.590362601184702,0.40963675660684806
Bournemouth,1,1,Nott'ham Forest,2024-02-04,1.7,4.2,4.5,1.65,2.2,0.5433185714540568,0.20194104555318632,0.254727024848663,0.6820361142875907,0.31796076841819676
Manchester Utd,3,0,West Ham,2024-02-04,1.62,4.2,5.0,1.6,2.3,0.41862606435151994,0.2568903059424581,0.32448339633511214,0.45485347108359975,0.5451464752801389
Chelsea,2,4,Wolves,2024-02-04,1.62,4.0,5.5,1.7,2.1,0.46280601421199324,0.23588802104662215,0.3013048480786163,0.5425592059087515,0.457440525835601
Arsenal,3,1,Liverpool,2024-02-04,2.2,3.6,3.1,1.67,2.15,0.39033395969283174,0.2535659087789626,0.35609987835335166,0.47574259517244255,0.524257325329103
Brentford,1,3,Manchester City,2024-02-05,7.0,4.75,1.4,1.57,2.35,0.20484130977489196,0.19402699736940485,0.6011089604047576,0.6754178313255251,0.3245789562323052
Manchester City,2,0,Everton,2024-02-10,1.18,8.0,13.0,1.44,2.7,0.6756304434306948,0.19595401383387256,0.12840629886381488,0.519435509720322,0.48056429054651684
Luton Town,1,3,Sheffield Utd,2024-02-10,1.75,3.75,4.75,1.85,2.05,0.803619965621319,0.1171780766312112,0.07878151263009477,0.7733964615488067,0.2265832977430749
Liverpool,3,1,Burnley,2024-02-10,1.17,8.0,17.0,1.33,3.4,0.8297584850535253,0.11287538217701082,0.05713130216024475,0.6942603492241823,0.30573494727471007
Wolves,0,2,Brentford,2024-02-10,2.1,3.6,3.4,1.75,2.05,0.5689959236653069,0.2016146783345718,0.2293738121817202,0.6699836444018009,0.3300134468731327
Fulham,3,1,Bournemouth,2024-02-10,2.38,3.5,2.8,1.73,2.08,0.49229394863451414,0.23333267691424234,0.27437149060021865,0.5563754148446574,0.44362419933386643
Tottenham,2,1,Brighton,2024-02-10,1.8,4.2,3.8,1.4,2.88,0.5708736575080687,0.18691407472925842,0.24216473453200765,0.7621060746501496,0.23787821264821074
Nott'ham Forest,2,3,Newcastle Utd,2024-02-10,3.3,3.75,2.05,1.7,2.1,0.2862112093617989,0.20695336273461107,0.5068235503623234,0.6987375314308035,0.301257616855888
West Ham,0,6,Arsenal,2024-02-11,6.0,4.33,1.53,1.67,2.15,0.21472932572165715,0.22464642362566814,0.5606209223079969,0.5384977856334934,0.4615019340629654
Aston Villa,1,2,Manchester Utd,2024-02-11,2.15,3.75,3.1,1.53,2.4,0.5546159439188142,0.22477382225567455,0.2206068891751539,0.5450094690510285,0.4549902157215615
Crystal Palace,1,3,Chelsea,2024-02-12,4.2,3.8,1.85,1.86,2.04,0.3477883901117771,0.22183155594078482,0.4303780345973694,0.618042451202707,0.38195665548864327
Brentford,1,4,Liverpool,2024-02-17,5.5,4.33,1.57,1.48,2.6,0.18650174206176492,0.19294621251977295,0.6205367054274454,0.6243027025651484,0.3756962799552976
Newcastle Utd,2,2,Bournemouth,2024-02-17,1.83,4.2,3.75,1.48,2.6,0.669953626364154,0.1585940041855358,0.1713062523060574,0.7867417164241549,0.21323926426976936
Tottenham,1,2,Wolves,2024-02-17,1.53,4.75,5.25,1.44,2.7,0.5656239495141535,0.18428172328260134,0.25005346601878975,0.76072973323246,0.2392589648709879
